Estacao;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Media
Jabaquara;63;67;71;71;70;69;65;70;70;;;;68
Conceicao ;23;29;30;30;30;29;27;30;30;;;;29
Sao Judas ;13;15;16;16;15;15;15;16;16;;;;15
Saude-Ultrafarma;22;26;27;27;27;27;25;27;27;;;;26
Praca da Arvore ;13;15;16;16;16;16;14;16;16;;;;15
Santa Cruz;81;92;96;95;96;95;88;95;96;;;;93
Vila Mariana ;14;20;22;22;21;20;16;20;21;;;;20
Ana Rosa;64;76;80;80;80;78;72;79;81;;;;77
Paraiso;80;95;100;100;100;97;89;100;100;;;;96
Vergueiro ;21;26;27;27;27;26;24;27;27;;;;26
Sao Joaquim ;17;28;35;35;33;28;20;33;35;;;;29
Japao-Liberdade ;20;21;22;22;21;21;22;22;22;;;;21
Se;153;169;175;174;172;171;160;171;175;;;;169
Sao Bento;49;52;51;50;51;53;53;51;52;;;;51
Luz;116;131;135;137;133;130;119;125;133;;;;129
Tiradentes ;11;15;16;17;16;16;13;16;17;;;;15
Armenia ;16;19;20;19;19;19;18;19;20;;;;19
Portuguesa-Tiete ;43;42;44;44;44;45;44;44;48;;;;44
Carandiru ;9;11;12;12;12;12;11;12;12;;;;11
Santana ;41;48;50;50;50;49;46;50;51;;;;48
Jardim Sao Paulo-Ayrton Senna;9;11;12;12;12;11;10;12;12;;;;11
Parada Inglesa ;11;13;14;13;13;13;12;13;13;;;;13
Tucuruvi ;47;54;55;56;56;56;53;57;58;;;;55
Total;937;1.075;1.126;1.124;1.113;1.096;1.016;1.105;1.131;;;;1.080
